Model Name,WER (%),CER (%),Inference Time (s),Dataset Used,Sample Size,# Params (M),Hugging Face Link,Last Updated,Notes,Hardware Info
nvidia/stt_fa_fastconformer_hybrid_large,3.41,1.14,31s,hsekhalilian/commonvoice dev,1000,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,2025-07-15,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
nvidia/stt_fa_fastconformer_hybrid_large,3.42,1.14,10s,hsekhalilian/commonvoice dev,1000,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
dummy_model,6.1,3.8,95.0,Common Voice (Persian),0,244.0,https://huggingface.co/dummy/model,2025-07-08,Zero-shot test run,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
hsekhalilian/Speech_To_Text_Finetuning_01,10.0,2.88,12s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_01,2025-07-23,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
facebook/seamless-m4t-v2-large,12.58,3.22,77.49,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-v2-large,2025-07-13,,NVIDIA GeForce RTX 4080 (CUDA 12.6)
facebook/seamless-m4t-v2-large,12.63,3.23,506.27,hsekhalilian/commonvoice dev,1000,2309.25,https://huggingface.co/facebook/seamless-m4t-v2-large,2025-07-13,,NVIDIA GeForce RTX 4080 (CUDA 12.6)
facebook/hf-seamless-m4t-medium,12.71,3.22,1m 23s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/hf-seamless-m4t-medium,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
facebook/seamless-m4t-v2-large,12.71,3.22,1m 28s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-v2-large,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
facebook/seamless-m4t-large,12.71,3.22,1m 20s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-large,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
facebook/seamless-m4t-medium,12.71,3.22,76.54,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-medium,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,13.04,3.92,8m 24s,hsekhalilian/commonvoice dev,1000,1543.49,https://huggingface.co/MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
Neurai/NeuraSpeech_WhisperBase,14.03,4.34,1m 44s,hsekhalilian/commonvoice dev,1000,72.59,https://huggingface.co/Neurai/NeuraSpeech_WhisperBase,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
nvidia/stt_fa_fastconformer_hybrid_large,14.35,5.02,12s,hsekhalilian/sorted_commonvoice test,1000,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,2025-07-15,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
nvidia/stt_fa_fastconformer_hybrid_large,14.35,5.02,13s,/home/user/.cache/datasets/custom_commonvoice_splits test,1000,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,2025-07-15,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
hsekhalilian/wav2vec2-custom-model,15.37,3.23,1m 2s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,2025-07-15,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
hsekhalilian/wav2vec2-custom-model,15.44,3.21,29.62,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,2025-07-09,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
Neurai/NeuraSpeech_900h,15.71,5.66,10s,hsekhalilian/commonvoice dev,1000,23.76,https://huggingface.co/Neurai/NeuraSpeech_900h,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
hsekhalilian/wav2vec2-custom-model,17.61,5.71,29s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,2025-07-09,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
jonatasgrosman/wav2vec2-large-xlsr-53-persian,18.29,4.37,33s,hsekhalilian/commonvoice dev,1000,315.51,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,2025-07-08,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
MohammadKhosravi/whisper-large-v3-Persian,19.29,4.83,53s,hsekhalilian/commonvoice dev,100,1543.49,https://huggingface.co/MohammadKhosravi/whisper-large-v3-Persian,2025-07-12,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
facebook/seamless-m4t-v2-large,19.34,6.36,4m 18s,hsekhalilian/commonvoice dev,1000,2632.57,https://huggingface.co/facebook/seamless-m4t-v2-large,2025-07-13,,NVIDIA GeForce RTX 4080 (CUDA 12.1)
hsekhalilian/speech-to-text-rnnt-finetuned,20.31,5.22,12s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/speech-to-text-rnnt-finetuned,2025-07-22,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
facebook/seamless-m4t-v2-large,20.46,5.73,166.14,hsekhalilian/fleurs validation,369,1501.84,https://huggingface.co/facebook/seamless-m4t-v2-large,2025-07-13,,NVIDIA GeForce RTX 4080 (CUDA 12.6)
m3hrdadfi/wav2vec2-large-xlsr-persian-v2,21.39,5.06,27s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v2,2025-07-08,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
facebook/seamless-m4t-v2-large,22.16,5.81,2m 33s,hsekhalilian/fleurs validation,369,1501.84,https://huggingface.co/facebook/seamless-m4t-v2-large,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
facebook/seamless-m4t-medium,22.16,5.81,2m 33s,hsekhalilian/fleurs validation,369,1501.84,https://huggingface.co/facebook/seamless-m4t-medium,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
facebook/seamless-m4t-large,22.16,5.81,2m 33s,hsekhalilian/fleurs validation,369,1501.84,https://huggingface.co/facebook/seamless-m4t-large,2025-07-14,,NVIDIA GeForce RTX 3090 (CUDA 12.6)
hsekhalilian/Speech_To_Text_Finetuning_02,22.58,6.84,1m 1s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_02,2025-07-23,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,23.11,6.14,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,2025-07-29,,NVIDIA GeForce RTX 3060 (CUDA 12.8)
MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,23.49,6.22,141.77,hsekhalilian/fleurs validation,100,1543.49,https://huggingface.co/MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,23.58,6.88,9m 17s,hsekhalilian/fleurs validation,369,1543.49,https://huggingface.co/MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
steja/whisper-large-persian,24.16,7.02,13m 23s,hsekhalilian/fleurs validation,369,1543.3,https://huggingface.co/steja/whisper-large-persian,2025-07-12,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
Neurai/NeuraSpeech_WhisperBase,24.19,7.87,2m 8s,hsekhalilian/fleurs validation,369,72.59,https://huggingface.co/Neurai/NeuraSpeech_WhisperBase,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
hsekhalilian/wav2vec2-custom-model,24.41,5.43,31s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,2025-07-08,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
ghofrani/xls-r-1b-fa-cv8,25.25,5.71,28s,hsekhalilian/commonvoice dev,1000,315.57,https://huggingface.co/ghofrani/xls-r-1b-fa-cv8,2025-07-08,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
