Model Name,WER (%),CER (%),Inference Time (s),Dataset Used,Sample Size,# Params (M),Hugging Face Link,Hardware Info,Last Updated,Notes
alifarokh/nemo-conformer-medium-fa,4.35,1.28,20s,hsekhalilian/sorted_commonvoice dev,1000,30.51,https://huggingface.co/alifarokh/nemo-conformer-medium-fa,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
nvidia/stt_fa_fastconformer_hybrid_large,9.49,2.99,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,9.98,2.99,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
Neurai/NeuraSpeech_900h,10.26,3.23,18s,hsekhalilian/sorted_commonvoice dev,1000,23.76,https://huggingface.co/Neurai/NeuraSpeech_900h,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
hsekhalilian/Speech_To_Text_Finetuning_03,13.13,4.24,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
facebook/seamless-m4t-large,14.7,3.68,5m 31s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
facebook/seamless-m4t-v2-large,14.7,3.68,5m 32s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-v2-large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
facebook/hf-seamless-m4t-medium,14.7,3.68,5m 24s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/hf-seamless-m4t-medium,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
facebook/seamless-m4t-medium,14.7,3.68,5m 29s,hsekhalilian/commonvoice dev,1000,1501.84,https://huggingface.co/facebook/seamless-m4t-medium,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,17.0,5.23,21m 0s,hsekhalilian/commonvoice dev,1000,1543.49,https://huggingface.co/MohammadGholizadeh/whisper-large-v3-persian-common-voice-17,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
MohammadKhosravi/whisper-large-v3-Persian,17.34,3.94,18m 21s,hsekhalilian/commonvoice dev,1000,1543.49,https://huggingface.co/MohammadKhosravi/whisper-large-v3-Persian,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
jonatasgrosman/wav2vec2-large-xlsr-53-persian,18.16,4.25,47s,hsekhalilian/commonvoice dev,1000,315.51,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/speech-to-text-rnnt-finetuned,20.33,5.19,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/speech-to-text-rnnt-finetuned,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
m3hrdadfi/wav2vec2-large-xlsr-persian-v2,21.29,4.91,45s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v2,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/Speech_To_Text_Finetuning_02,22.63,6.83,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_02,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/Speech_To_Text_Finetuning_01,22.79,11.59,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,23.11,6.14,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer,23.39,6.35,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
Neurai/NeuraSpeech_WhisperBase,23.44,6.45,4m 14s,hsekhalilian/commonvoice dev,1000,72.59,https://huggingface.co/Neurai/NeuraSpeech_WhisperBase,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
MohammadKhosravi/whisper-large-v3-Persian,24.02,6.79,22m 13s,hsekhalilian/fleurs validation,369,1543.49,https://huggingface.co/MohammadKhosravi/whisper-large-v3-Persian,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/wav2vec2-custom-model,24.13,5.32,47s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
steja/whisper-large-persian,25.34,6.07,25m 36s,hsekhalilian/commonvoice dev,1000,1543.3,https://huggingface.co/steja/whisper-large-persian,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,25.83,7.35,13s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,25.84,7.34,14s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
