Model Name,WER (%),CER (%),Inference Time (s),Dataset Used,Sample Size,# Params (M),Hugging Face Link,Hardware Info,Last Updated,Notes
alifarokh/nemo-conformer-medium-fa,3.89,1.26,18s,hsekhalilian/sorted_commonvoice dev,1000,30.51,https://huggingface.co/alifarokh/nemo-conformer-medium-fa,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
jonatasgrosman/wav2vec2-large-xlsr-53-persian,7.38,2.03,47s,hsekhalilian/commonvoice dev,1000,315.51,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
nvidia/stt_fa_fastconformer_hybrid_large,8.74,3.03,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/nvidia/stt_fa_fastconformer_hybrid_large,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
hsekhalilian/Speech_To_Text_Finetuning_01,9.03,2.88,22s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,9.06,3.0,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8),2025-07-28,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,9.82,3.27,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer,9.98,3.42,22s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/wav2vec2-custom-model,10.3,2.42,44s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
m3hrdadfi/wav2vec2-large-xlsr-persian-v2,10.55,2.74,46s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v2,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,10.78,3.25,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8),2025-07-28,
hsekhalilian/Speech_To_Text_Finetuning_03,11.95,4.32,21s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/wav2vec2-custom-model,12.21,5.1,50s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/hsekhalilian/wav2vec2-custom-model,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
hsekhalilian/speech-to-text-rnnt-finetuned,13.17,4.81,20s,hsekhalilian/sorted_commonvoice dev,1000,114.62,https://huggingface.co/hsekhalilian/speech-to-text-rnnt-finetuned,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8),2025-07-28,
hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,13.82,6.13,13s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_03_no_punc_with_encoder,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,14.24,6.03,14s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/stt_fa_fastconformer_updated_tokenizer_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,14.4,3.82,46s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v3,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-30,
hsekhalilian/Speech_To_Text_Finetuning_01,14.49,6.67,14s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_01,NVIDIA GeForce RTX 3060 (CUDA 12.8),2025-07-29,
